superstar,stock,client,market,type,action type,Date,avg,count,change,buy count
Arihant Capital Mkt. Ltd,RBZ Jewellers Ltd.,ARIHANT CAPITAL MARKETS LIMTED,NSE,Bulk,Purchase,1/10/2024,173.83,100334,0.0025,3
Arihant Capital Mkt. Ltd,RBZ Jewellers Ltd.,ARIHANT CAPITAL MARKETS LIMTED,NSE,Bulk,Purchase,1/10/2024,173.83,100334,0.0025,3
Latin Manharlal Securities Pvt. Ltd.,Sahara Maritime Ltd.,LATIN MANHARLAL SECURITIES PVT LTD,BSE,Bulk,Purchase,12/26/2023,78.03,22400,0.0073,3
Latin Manharlal Securities Pvt. Ltd.,Sahara Maritime Ltd.,LATIN MANHARLAL SECURITIES PVT LTD,BSE,Bulk,Purchase,12/26/2023,78.03,22400,0.0073,3
Latin Manharlal Securities Pvt. Ltd.,Sahara Maritime Ltd.,LATIN MANHARLAL SECURITIES PVT LTD,BSE,Bulk,Purchase,12/26/2023,78.03,22400,0.0073,3
Bonanza Portfolio Ltd,Enbee Trade & Finance Ltd.,BONANZA PORTFOLIO LIMITED,BSE,Bulk,Purchase,12/20/2023,15.3,123000,0.0086,2
Bonanza Portfolio Ltd,Enbee Trade & Finance Ltd.,BONANZA PORTFOLIO LIMITED,BSE,Bulk,Purchase,12/29/2023,20.47,15000,0.001,2
Birla Group,V-Guard Industries Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUND,NSE,Block,Purchase,12/22/2023,286,3500000,0.0081,2
Birla Group,V-Guard Industries Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUND,NSE,Bulk,Purchase,12/22/2023,286,3500000,0.0081,2
Morgan Stanley Asia (Singapore) Pte.,"Zomato Ltd.

52 week high",MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,1/15/2024,138.15,3900000,0.0004,2
Citigroup Global Markets Mauritius Private Limited,"Zomato Ltd.

52 week high",CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD,NSE,Block,Purchase,1/15/2024,138.15,2400000,0.0003,2
